EDIF	LATITUD	LONGITUD	PLANTAS	HUELLA(M2)	CONFIG	OBS
LONG BEACH	8.99735	-79.49794	15		1	SE ENCUENTRA EN COCO DEL MAR. EQUIPO EN AZOTEA
LUXOR TOWER	8.987322222	-79.52780833	28		3	SE ENCUENTRA EN VÍA ARGENTINA. EQUIPO EN BASE
MANDARIN BAY						
MARINA PLAZA	8.987233333	-79.50878889	35		2	SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
MEGAPOLIS	8.977275	-79.517875	66		2	SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA. MEGÁPOLIS
METRO TOWER						
MIRADOR SAN FRANCISCO	8.98827	-79.50551	22		2	SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
MIYAKI	8.989338889	-79.51942778	28		2	SE ENCUENTRA EN BELLA VISTA. EQUIPO EN BASE Y AZOTEA
OASIS	8.992652778	-79.51717778	28		2	SE ENCUENTRA EN VÍA PORRAS. EQUIPO EN BASE Y AZOTEA. OASIS TOWER
OCEAN 2						NO SE SABE SI ES OCEAN PARK 2
OCEAN AIRE	8.980572222	-79.50700833	48		2	SE ENCUENTRA EN PUNTA PACIFICA. EQUIPO EN BASE Y AZOTEA
OCEAN DRIVE	8.981811	-79.507708	41		2	SE ENCUENTRA EN PUNTA PACIFICA. EQUIPO EN BASE Y AZOTEA
OCEAN PARK 1	8.97747	-79.50943	42		2	SE ENCUENTRA EN PUNTA PACIFICA. EQUIPO EN BASE Y AZOTEA
OCEAN SKY	8.99317	-79.49763	38		2	SE ENCUENTRA EN PUNTA PACIFICA. EQUIPO EN BASE Y AZOTEA
OFFICE PARK II						
OFFICE TOWER	8.97854	-79.51237	16		1	SE ENCUENTRA EN PUNTA PAITILLA. EQUIPO EN BASE
PACIFIC POINT T200	8.97834	-79.50765	42		2	SE ENCUENTRA EN PUNTA PAITILLA. EQUIPO EN BASE Y AZOTEA
PACIFIC POINT T300	8.97886	-79.50766	36		2	SE ENCUENTRA EN PUNTA PAITILLA. EQUIPO EN BASE Y AZOTEA
PACIFIC VILLAGE	8.976211111	-79.50783056	50		3	SE ENCUENTRA EN PUNTA PACÍFICA. EQUIPO EN BASE
PANAMA BAY TOWER	9.009775	-79.47129444	48		2	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
PANORAMIC						
PARAMOUNT	9.010723	-79.46827	63		2	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
PARK CITY	8.99019	-79.52659	20		1	SE ENCUENTRA EN EL CANGREJO. EQUIPO EN BASE 
PARK LOFT	8.996219444	-79.50355278	38		2	SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
PARQUE DEL MAR	9.0108	-79.47264	46		2	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
PARQUE DEL MAR 2						
PH CITRUS	8.99485	-79.50603	28		2	SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
PH FAMAGOSTA LOFT						
PH GOLDEN PALACE	8.97281	-79.51671	36		2	SE ENCUENTRA EN PUNTA PAITILLA. EQUIPO EN BASE Y AZOTEA
PH INNOVA TOWER						
PH MIRADOR SAN FRANCISCO	8.98827	-79.50551	22		2	SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
PH MONTEMAR	8.99491	-79.51387	35		2	SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
PH PARK ONE	9.00642	-79.50662	34		2	SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
PH THE LANDMARK	8.974252778	-79.51635556	44		2	SE ENCUENTRA EN PUNTA PAITILLA. EQUIPO EN BASE Y AZOTEA
PH TONELES						
PH WINDOW TOWER	8.99542	-79.51289	34		2	SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
PH. KEOPS TOWERS						
PH.URBI TOWER						
PLAYA SERENA	8.54861	-79.87181	27		2	SE ENCUENTRA EN P. GORGONA / SAN CARLOS. EQUIPO EN BASE Y AZOTEA
PLAZA VALENCIA	8.99926	-79.51768	21		3	SE ENCUENTRA EN CARRASQUILLA
PREMIUM TOWER						
PRIME TIME	9.009694	-79.475046	43		2	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
PROYECTO Q TOWER	8.976452778	-79.50866111	67		3	SE ENCUENTRA EN PUNTA PACÍFICA. EQUIPO EN BASE
PUNTA MARINA						
RESIDENSIAL COSTA REAL						
REVOLUTION TOWER	8.982858333	-79.51845833	52		2	SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA. EDIFICIO REVOLUTION TOWER/F&F TOWER
RITZ PLAZA SUITE						
RIU PALACE						
RIVAGE						
RIVERSIDE						
RIVERSIDE						
ROSA DEL VIENTO	8.995944444	-79.50602778	32		2	SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA. ROSA DEL VENTI
SAN FRANCISCO 67	8.99259	-79.51148	25		2	SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
SEAWAVES	8.98044	-79.52726	47		2	SE ENCUENTRA EN BELLA VISTA. EQUIPO EN BASE Y AZOTEA
SERENITY						
SFB 300						ME PARECE QUE ESTOS SON SAN FRANCISCO BAY T300&400
SFB 400						
SILVERLKING						
SKY TOWER	8.96783	-79.53288	54		2	SE ENCUENTRA EN LA EXPOSICIÓN. EQUIPO EN BASE Y AZOTEA
SOL DEL ESTE	9.01515	-79.47703	33		3	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO 2 EN BASE Y 1 AZOTEA
SOLMARINA	8.97682	-79.52059	36		2	SE ENCUENTRA EN PUNTA PAITILLA. EQUIPO EN BASE Y AZOTEA
STAR BAY						
SUBFOLDER						
TEN TOWER	9.010111111	-79.46731667	54		2	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
TERRAZAS DEL PACIFICO	8.98864	-79.51088	36		2	SE ENCUENTRA EN CALLE 50-VÍA ISRAEL. EQUIPO EN BASE Y AZOTEA
TERRAZAS DEL PARQUE	9.004794	-79.506208	18		1	SE ENCUENTRA EN PARQUE LEFEVRE. EQUIPO EN BASE
TERRAZAS DEL REY	9.026465	-79.524977	19		1	SE ENCUENTRA EN CONDADO DEL REY. EQUIPO EN BASE. EXISTEN T100-T200-T300
THE COSMOPOLITAN						
THE FORUM						
THE PEARL						
THE PENTHOUSE TOWER						
THE POINT	8.970857	-79.517925	66		2	SE ENCUENTRA EN PUNTA PAITILLA. EQUIPO EN BASE Y AZOTEA
THE REGENT	8.995061111	-79.50620833	33		2	SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA. THE REGENT TOWER
THE RIM	9.01316	-79.51217	20		1	SE ENCUENTRA EN AV. 11 DE OCTUBRE. EQUIPO EN BASE
THE TRUMP OCEAN						
THE VIEW	8.991286111	-79.499925	35		2	SE ENCUENTRA EN CL 79
TOP TOWER						
TORRE ASEGURADORA	9.015377778	-79.47724444	28		2	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA. TORRE ASEGURADORA ANCÓN
TORRE BANCO PANAMA	9.009649	-79.475768	28		2	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
TORRE CHASE						
TORRE DEL PARQUE						
TORRE GERONA	9.015509	-79.476098	20		1	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE
TORRE PORTA NOVA	8.99037	-79.52963	29		2	SE ENCUENTRA EN EL CANGREJO. EQUIPO EN BASE Y AZOTEA
TORRES DE ALBA	8.98475	-79.52874	24		2	SE ENCUENTRA EN EL CANGREJO. EQUIPO EN BASE Y AZOTEA
